obs_id	RaceAmerican Indian/Alaska Native	RaceAsian	RaceBlack or African American	RacePrefer not to answer	RaceSomething else	RaceWhite	isHispanicYes	isHispanicNA	Relationship_StatusIn a committed relationship but not married	Relationship_StatusMarried	Relationship_StatusPrefer not to answer	Relationship_StatusSingle	Relationship_StatusWidowed	educationBachelor's degree	educationDoctorate degree	educationHigh school graduate or GED	educationLess than a high school diploma	educationMaster's degree	educationSome college credit, no degree	educationTrade/technical/vocational training	employmentPart-time employment	employmentRetired	employmentStudent	employmentUnemployed	sexmale	sexNA	genderMale	genderNon-binary	genderPrefer not to answer	genderTrans female	genderTrans male	sexualityGay or lesbian	sexualityHeterosexual	sexualityPrefer not to answer	sexualitySomething else	age	BodyBmi	BodyFat	BodyWeight	CaloriesBMR	FoodCaloriesIn	HeartRateIntradayCount	HeartRateZoneOutOfRangeCaloriesOut	HeartRateZoneOutOfRangeMax	HeartRateZoneOutOfRangeMinutes	HeartRateZoneFatBurnCaloriesOut	HeartRateZoneFatBurnMax	HeartRateZoneFatBurnMinutes	HeartRateZoneCardioCaloriesOut	HeartRateZoneCardioMax	HeartRateZoneCardioMinutes	HeartRateZonePeakCaloriesOut	HeartRateZonePeakMinutes	TrackerActivityCalories	TrackerCalories	TrackerDistance	TrackerElevation	TrackerMinutesFairlyActive	TrackerMinutesLightlyActive	TrackerMinutesSedentary	TrackerMinutesVeryActive	TrackerSteps	Water	skipped	Efficiency	SleepLevelDeep	SleepLevelLight	SleepLevelRem	SleepLevelWake	MinutesAfterWakeup	MinutesAsleep	MinutesAwake	MinutesToFallAsleep	TimeInBed	times_slept
33	0	0	0	0	0	0	0	0	0	0.00887331658705081	0	0.0176273741940269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00215737648487029	0	0	0	0	0.0357716847404384	0	0	-0.00498097457206356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	0	0	0	0	0	0	0	0	0	-0.0148483664010504	0	-0.00745408161939647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0014949910075003	0	0	0	0	-0.0147790206505505	0	0	-0.00509588746322386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	0	0	0	0	0	0	0	0	0	-0.0141534709212537	0	-0.00671775892225685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00118064785479098	0	0	0	0	-0.0166593710396048	0	0	-0.00817615234210524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	0	0	0	0	0	0	0	0	0	0.0099582280783745	0	0.0175683692808368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0167857319202977	0	0	0.0350507024386543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	0	0	0	0	0	0	0	0	0	0.00709721204157569	0	0.0146940778144221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00123480688081014	0	0	0	0	-0.0151978288255802	0	0	-0.0459079599373603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	0	0	0	0	0	0	0	0	0	0.00803398896651045	0	0.0187151480373773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00142925280492855	0	0	0	0	-0.0190361458568156	0	0	0.0192749347233068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	0	0	0	0	0	0	0	0	0	-0.0145393789606602	0	-0.00616221920513526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00196534810480928	0	0	0	0	-0.0235064498952451	0	0	-0.0542819513610172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	0	0	0	0	0	0	0	0	0	-0.0133518104029678	0	-0.00642053075368741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00137380245944035	0	0	0	0	0.0362253634506673	0	0	0.00151528974365268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	0	0	0	0	0	0	0	0	0	0.00881038260493274	0	0.0146006255236876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000733044342841047	0	0	0	0	-0.0177197575757638	0	0	0.0313846579208887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	0	0	0	0	0	0	0	0	0	-0.0144536196377451	0	-0.00626166659323405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00262642233556243	0	0	0	0	-0.0187926555912883	0	0	-0.0330720868584826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	0	0	0	0	0	0	0	0	0	0.00924934438350498	0	0.0159084750784995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0207275824832111	0	0	-0.00285529057606928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	0	0	0	0	0	0	0	0	0	-0.0160530500088076	0	-0.0110484739717482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000544704866216108	0	0	0	0	-0.017996982079511	0	0	-0.00626189580141944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	0	0	0	0	0	0	0	0	0	0.00935119265311746	0	-0.00816323575100436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0035516590928238	0	0	0	0	-0.0170107788099126	0	0	0.020563624738876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	0	0	0	0	0	0	0	0	0	0.00930387316068941	0	0.0155425834640222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0019800715787385	0	0	0	0	-0.0133774721992044	0	0	0.0003739574363744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	0	0	0	0	0	0	0	0	0	0.0118573196348603	0	0.0175927759923895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00221480738861599	0	0	0	0	0.0406313411920635	0	0	-0.0167499625990357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	0	0	0	0	0	0	0	0	0	0.0073281042676618	0	-0.0102769918274734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00195983058578973	0	0	0	0	-0.0187446196320281	0	0	0.0191527654861441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	0	0	0	0	0	0	0	0	0	0.00540193218770122	0	0.0145482131879526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000686931851275118	0	0	0	0	-0.0172028831246957	0	0	-0.0174936965807555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
